Node name,Degree,Strength,Clustering coefficient,Average path length,Maximum path length,Betweenness,Eigenvector centrality,PageRank
AGN,2,168.0,1.0,4.90657822001,13,0.0,2.65121451246e-05,6.58350132513e-05
AGL,3,111.0,0.333333333333,4.74129353234,10,0.000551568184654,3.02838416971e-05,0.000182391581075
AGJ,1,392.0,0,4.64566058596,12,0.0,0.000133078958655,4.48299502316e-05
AGH,3,7254.0,1.0,3.89690436705,11,0.0,0.00361373195225,0.000126853278272
AGF,2,480.0,1.0,3.68684355998,11,0.0,0.00325986456624,5.32473702117e-05
AGE,1,56.0,0,6.37368711996,14,0.0,4.5438784434e-07,0.000130863463182
AGA,12,7813.5,0.5,3.59812050857,11,0.0,0.0190427811283,0.000171508315654
NYU,4,5040.0,1.0,4.61138750691,11,0.000618568823514,0.000102625280439,0.000302898916277
KRB,3,315.0,0.333333333333,4.46268656716,10,0.0,8.99209228323e-05,0.000163668095423
XBN,2,19.0,0,6.73244886678,12,0.0107664570379,1.07810615279e-08,0.000118384396663
NYN,2,81.0,1.0,5.2277501382,12,0.000276319298495,5.6896054127e-06,7.49516919613e-05
XBJ,2,128.0,1.0,4.19900497512,12,0.0,0.00225115553618,4.47733360351e-05
XBE,2,224.0,0,6.59259259259,15,2.54860079777e-08,1.10197640151e-07,0.000186037874832
NYC,179,1524349.5,0.157554453581,2.70840243228,11,6.22222680485e-07,0.160583544828,0.0124706125716
AGU,7,7678.0,0.761904761905,3.66445550028,11,0.0692834908587,0.0051341160309,0.000119329764568
AGT,2,1648.0,1.0,4.09729132117,12,5.7624444528e-06,0.000974445750768,7.60829107192e-05
AGS,2,7153.0,1.0,3.91072415699,12,0.0,0.0035674112264,8.79356696905e-05
AGR,3,1956.0,0.333333333333,4.11885019348,11,0.0,0.000854157649306,9.34511749533e-05
AGP,47,68862.5,0.493987049029,3.39939192924,11,0.000226169935114,0.0618720528726,0.000712558178004
BWQ,2,63.0,0,5.2277501382,12,0.00085634153571,5.59204010016e-06,0.000100532237981
YRS,1,216.0,0,5.60613598673,14,0.000276319298495,0.000949683073332,7.94449255573e-05
BWT,1,1386.0,0,4.2960199005,11,0.0,0.000149709135078,6.71998777563e-05
KRF,1,1450.0,0,4.07158651189,12,0.0,0.00153226652642,5.8781206353e-05
KYA,1,693.0,0,3.98065229409,12,0.000279293978127,0.00190514816291,5.11284491831e-05
SPS,1,2238.0,0,3.95936981758,12,0.0,0.00177430981939,5.62413221602e-05
SPU,6,5284.0,0.6,3.65588723051,11,0.0,0.0090215280716,0.000108959316187
KYD,1,399.0,0,5.06495301271,12,6.83376376201e-06,9.56877381281e-06,4.62932324955e-05
BWA,1,616.0,0,4.5464344942,11,0.0,0.000237207000454,5.77687780905e-05
